acousticness,loudness,music_genre
0.0084599999999999,-11.457,Electronic
0.0151,-0.643,Electronic
0.0143,-3.899,Electronic
0.0192,-5.99,Electronic
0.011,-7.987999999999999,Electronic
0.00431,-2.849,Electronic
0.0003549999999999,-6.84,Electronic
0.00226,-6.533,Electronic
0.0214,-5.377000000000001,Electronic
0.196,-13.505999999999998,Electronic
0.178,-9.092,Electronic
0.0161,-5.861000000000001,Electronic
0.581,-9.8,Electronic
0.00163,-6.549,Electronic
0.0133,-4.513,Electronic
0.122,-5.162000000000001,Electronic
0.0049,-5.122999999999999,Electronic
0.000367,-5.039,Electronic
0.00988,-2.688,Electronic
0.000266,-7.2010000000000005,Electronic
0.00324,-5.603,Electronic
0.00268,-5.622999999999999,Electronic
0.0846,-12.496,Electronic
0.00413,-3.333,Electronic
0.0009019999999999,-4.375,Electronic
0.0086,-8.677,Electronic
0.000516,-2.597,Electronic
0.166,-4.984,Electronic
0.172,-11.736,Electronic
0.00105,-5.277,Electronic
0.001,-5.682,Electronic
0.0021899999999999,-5.7860000000000005,Electronic
0.4,-12.356,Electronic
0.000307,-11.667,Electronic
0.946,-21.672,Electronic
0.0108,-6.087999999999999,Electronic
0.000962,-9.145,Electronic
0.00557,-9.829,Electronic
0.0101,-0.563,Electronic
0.0111,-9.093,Electronic
0.00591,-4.651,Electronic
9.19e-05,-6.218,Electronic
0.00298,-1.404,Electronic
0.153,-4.206,Electronic
0.293,-14.626,Electronic
0.000449,-5.303,Electronic
4.270000000000001e-05,-2.577,Electronic
0.00316,-6.178,Electronic
0.0797,-3.552,Electronic
0.0185,-4.578,Electronic
0.00335,-3.08,Electronic
0.0128,-3.68,Electronic
0.258,-8.71,Electronic
0.0688,-7.794,Electronic
0.11,-5.034,Electronic
0.00883,-3.728,Electronic
0.0928,-7.322999999999999,Electronic
0.00885,-4.48,Electronic
0.638,-15.555,Electronic
0.00331,-8.652000000000001,Electronic
0.0054399999999999,-4.501,Electronic
0.136,-10.403,Electronic
0.00108,-8.911,Electronic
0.00277,-3.0860000000000003,Electronic
0.2239999999999999,-4.321000000000001,Electronic
0.0294,-4.32,Electronic
0.0139,-0.003,Electronic
0.608,-6.327000000000001,Electronic
0.024,-11.088,Electronic
0.128,-7.604,Electronic
0.0172,-3.128,Electronic
0.0412,-8.764,Electronic
0.285,-3.01,Electronic
0.153,-9.855,Electronic
0.000107,-8.812000000000001,Electronic
0.0134,-12.013,Electronic
0.132,-4.936,Electronic
0.367,-3.47,Electronic
0.148,-5.611000000000001,Electronic
0.0139,-5.21,Electronic
0.00187,0.072,Electronic
0.00171,-3.208,Electronic
0.115,-4.691,Electronic
0.055,-9.306,Electronic
0.385,-14.483,Electronic
0.17,-5.402,Electronic
0.528,-10.191,Electronic
0.246,-14.236,Electronic
0.00892,-4.461,Electronic
0.0564,-6.782,Electronic
0.0188,-7.923999999999999,Electronic
0.0177,-12.35,Electronic
0.635,-13.496,Electronic
0.95,-14.318,Electronic
0.00499,-3.477,Electronic
0.0196,-4.597,Electronic
0.00694,-7.792000000000001,Electronic
0.0197,-6.89,Electronic
0.0749,-1.419,Electronic
0.0044399999999999,-4.513999999999999,Electronic
0.00244,-3.961,Electronic
0.00584,-7.316,Electronic
0.23,-12.952,Electronic
0.00162,-7.842,Electronic
0.0863,-2.992,Electronic
2.33e-05,-3.94,Electronic
0.0206,-3.488,Electronic
0.0874,-5.643,Electronic
0.0128,-6.678999999999999,Electronic
0.0193,-5.05,Electronic
0.0553,-6.174,Electronic
0.000744,-4.553,Electronic
0.113,-5.58,Electronic
0.0116,-10.277,Electronic
0.000417,-7.898,Electronic
0.237,-9.937,Electronic
0.00212,-4.974,Electronic
0.102,-11.285,Electronic
0.0427,-8.898,Electronic
0.00442,-7.045,Electronic
6.53e-05,-9.979,Electronic
0.0147,-5.813,Electronic
0.0462,-10.545,Electronic
0.425,-7.733,Electronic
0.1169999999999999,-7.468999999999999,Electronic
0.136,-4.932,Electronic
0.0208,-8.437999999999999,Electronic
0.0139,-8.31,Electronic
0.524,-13.714,Electronic
0.000291,-3.033,Electronic
0.914,-16.555,Electronic
0.0462,-8.705,Electronic
0.342,-6.506,Electronic
0.198,-10.285,Electronic
0.0157,-2.242,Electronic
0.0127,-4.7,Electronic
0.0111,-4.802,Electronic
0.0249,-8.025,Electronic
0.958,-16.488,Electronic
0.0291,-6.516,Electronic
0.00703,-5.608,Electronic
0.0467,-5.49,Electronic
0.154,-7.07,Electronic
0.00121,-9.047,Electronic
0.1369999999999999,-17.063,Electronic
0.2019999999999999,-13.68,Electronic
0.0562,-3.661,Electronic
0.932,-16.148,Electronic
0.238,-6.747999999999999,Electronic
0.0292,-8.299,Electronic
0.00139,-4.367,Electronic
0.013,-4.591,Electronic
0.00584,-0.7140000000000001,Electronic
0.00968,-5.447,Electronic
0.1369999999999999,-12.673,Electronic
0.106,-9.893,Electronic
0.135,-12.188,Electronic
4.18e-05,-2.109,Electronic
0.547,-8.277999999999999,Electronic
0.252,-10.709,Electronic
0.107,-11.630999999999998,Electronic
0.0733,-3.891,Electronic
0.00739,-1.27,Electronic
0.0004559999999999,-5.162999999999999,Electronic
0.0616,-2.794,Electronic
0.00185,-8.82,Electronic
0.0273,-4.254,Electronic
0.206,-10.593,Electronic
0.0112,-2.967,Electronic
0.0476,-3.848,Electronic
0.794,-6.924,Electronic
0.00748,-6.797999999999999,Electronic
0.0104,-6.063,Electronic
0.142,-4.9110000000000005,Electronic
0.00716,-2.69,Electronic
0.0136,-10.992,Electronic
0.00598,-7.912999999999999,Electronic
0.0145,-5.541,Electronic
0.0508,-6.068,Electronic
0.0846,-4.932,Electronic
0.092,-11.123,Electronic
0.00042,-4.676,Electronic
0.0147,-13.970999999999998,Electronic
0.154,-10.262,Electronic
0.00187,-3.0780000000000003,Electronic
0.000289,-2.099,Electronic
0.00732,-1.374,Electronic
6.459999999999998e-05,-8.174,Electronic
0.00943,-2.325,Electronic
0.321,-14.59,Electronic
0.000856,-6.061,Electronic
0.731,-11.326,Electronic
0.0531,-12.296,Electronic
0.00886,-9.65,Electronic
0.0389,-8.365,Electronic
0.015,-5.924,Electronic
0.00223,-9.151,Electronic
0.384,-8.547,Electronic
0.437,-10.74,Electronic
0.405,-6.886,Electronic
0.074,-4.597,Electronic
0.000354,-2.374,Electronic
0.009,-5.079,Electronic
0.00141,-1.285,Electronic
0.00936,-6.965,Electronic
0.000167,-3.379,Electronic
0.0363,-4.972,Electronic
0.0355,-7.16,Electronic
0.00255,-5.278,Electronic
0.035,-9.021,Electronic
0.0463,-3.167,Electronic
0.76,-7.422999999999999,Electronic
3.9e-05,-6.188,Electronic
0.872,-10.696,Electronic
0.157,-7.501,Electronic
0.123,-4.726,Electronic
0.125,-9.312,Electronic
0.00396,-5.666,Electronic
0.0466,-5.327999999999999,Electronic
0.262,-4.004,Electronic
0.00112,-6.837999999999999,Electronic
0.359,-7.316,Electronic
0.0189,-12.425999999999998,Electronic
0.281,-9.136,Electronic
0.00355,-4.802,Electronic
0.303,-8.006,Electronic
0.0142,-4.021,Electronic
0.435,-8.357999999999999,Electronic
0.133,-5.843,Electronic
0.0282,-9.344,Electronic
0.405,-8.425,Electronic
0.0444,-4.259,Electronic
0.835,-8.226,Electronic
0.021,-4.768,Electronic
0.594,-8.276,Electronic
0.00058,-5.021,Electronic
0.0136,-5.08,Electronic
0.0368,-16.024,Electronic
0.956,-15.723,Electronic
4.48e-05,-11.148,Electronic
0.00139,-4.253,Electronic
0.723,-14.168,Electronic
0.321,-3.703,Electronic
0.103,-4.828,Electronic
0.0302,-8.082,Electronic
0.00804,-2.012,Electronic
0.0033399999999999,-5.974,Electronic
0.718,-13.234000000000002,Electronic
0.0626,-8.304,Electronic
0.384,-4.666,Electronic
0.0611,-5.31,Electronic
0.000991,-5.799,Electronic
0.3329999999999999,-10.759,Electronic
0.0814,-7.991,Electronic
0.000396,-4.02,Electronic
0.261,-2.86,Electronic
0.0125,-3.399,Electronic
0.56,-13.785,Electronic
0.0563,-11.023,Electronic
0.131,-6.473,Electronic
0.331,-7.446000000000001,Electronic
0.264,-17.465,Electronic
0.118,-6.613,Electronic
0.184,-14.152,Electronic
4.06e-05,-9.693,Electronic
0.0598,-4.458,Electronic
0.00389,-8.873,Electronic
0.0003129999999999,-10.083,Electronic
0.036,-2.582,Electronic
0.789,-9.994,Electronic
0.129,-10.586,Electronic
0.0017699999999999,-6.847,Electronic
0.00143,-4.263999999999999,Electronic
0.0203,-8.424,Electronic
0.0941,-10.106,Electronic
0.268,-9.308,Electronic
0.0134,-3.124,Electronic
0.000117,-2.919,Electronic
0.778,-18.213,Electronic
1.96e-05,-2.289,Electronic
0.0459,-3.504,Electronic
0.0104,-3.534,Electronic
0.0973,-19.591,Electronic
0.0542,-9.751,Electronic
0.385,-8.987,Electronic
0.00419,-4.452,Electronic
0.268,-2.419,Electronic
0.0583,-10.987,Electronic
0.765,-7.917999999999999,Electronic
0.107,-5.43,Electronic
0.0306,-6.882000000000001,Electronic
0.0046,-2.975,Electronic
0.00694,-4.94,Electronic
0.77,-7.763999999999999,Electronic
0.5579999999999999,-8.892000000000001,Electronic
0.00328,-4.267,Electronic
0.00957,-3.5980000000000003,Electronic
0.36,-4.801,Electronic
0.0464,-10.494000000000002,Electronic
0.00195,-5.718999999999999,Electronic
0.253,-16.834,Electronic
0.623,-7.792000000000001,Electronic
0.0631,-10.305,Electronic
0.177,-5.962000000000001,Electronic
0.0421,-7.645,Electronic
0.985,-17.724,Electronic
0.168,-8.645,Electronic
0.0139999999999999,-8.121,Electronic
0.1159999999999999,-11.202,Electronic
0.000325,-5.052,Electronic
0.031,-6.018,Electronic
0.716,-14.527,Electronic
0.208,-7.071000000000001,Electronic
0.357,-10.324000000000002,Electronic
0.48,-6.707999999999999,Electronic
0.0796,-8.085,Electronic
0.225,-8.556000000000001,Electronic
0.00413,-6.279,Electronic
0.843,-17.753,Electronic
0.508,-8.727,Electronic
0.00172,-3.903,Electronic
0.0009429999999999,-6.277,Electronic
0.00547,-5.955,Electronic
0.0209,-5.5360000000000005,Electronic
0.304,-9.464,Electronic
0.109,-7.102,Electronic
0.1169999999999999,-9.329,Electronic
0.00744,-6.572,Electronic
0.344,-12.335,Electronic
0.504,-10.06,Electronic
0.00464,-6.926,Electronic
0.342,-13.053,Electronic
0.011,-11.09,Electronic
0.00971,-8.354,Electronic
0.000479,-4.808,Electronic
0.0701,-10.387,Electronic
0.00796,-9.199,Electronic
0.281,-5.142,Electronic
0.0307,-8.503,Electronic
0.136,-3.379,Electronic
0.931,-12.838,Electronic
0.00521,-3.464,Electronic
0.102,-6.0360000000000005,Electronic
0.0216,-5.396,Electronic
0.00209,-7.465,Electronic
0.000625,-5.932,Electronic
0.0125,-11.372,Electronic
0.000135,-6.24,Electronic
0.0362,-5.791,Electronic
0.251,-12.566,Electronic
0.000749,-3.812,Electronic
0.00674,-6.394,Electronic
0.00301,-6.88,Electronic
0.0128,-4.642,Electronic
0.000122,-4.018,Electronic
0.465,-6.303,Electronic
0.011,-7.888,Electronic
0.0129,-6.319,Electronic
0.8009999999999999,-23.436,Electronic
0.2289999999999999,-4.12,Electronic
0.0164,-4.421,Electronic
0.123,-11.285,Electronic
0.0753,-5.561,Electronic
0.324,-8.008,Electronic
0.257,-12.924,Electronic
0.466,-11.814,Electronic
0.0581,-6.212000000000001,Electronic
0.7829999999999999,-8.012,Electronic
0.0156,-7.119,Electronic
0.305,-5.933,Electronic
0.302,-3.762,Electronic
0.00465,-2.714,Electronic
0.479,-2.98,Electronic
0.000722,-11.474,Electronic
0.0638,-9.835,Electronic
0.0477,-3.569,Electronic
1.6800000000000002e-05,-7.239,Electronic
0.00226,-8.271,Electronic
0.000252,-10.390999999999998,Electronic
0.0377,-3.823,Electronic
0.0457,-11.014,Electronic
0.0502,-7.074,Electronic
0.192,-3.469,Electronic
0.00305,-8.396,Electronic
0.408,-6.631,Electronic
0.000204,-4.913,Electronic
0.3279999999999999,-7.482,Electronic
0.0678,-10.726,Electronic
0.00105,-4.423,Electronic
0.000843,-2.668,Electronic
0.00246,-5.117,Electronic
0.0044,-8.415,Electronic
0.00245,-4.689,Electronic
0.314,-9.827,Electronic
0.0183,-6.877000000000001,Electronic
0.00123,-13.042,Electronic
0.5429999999999999,-9.947,Electronic
0.305,-11.12,Electronic
0.00191,-4.618,Electronic
0.0136,-2.6,Electronic
0.0794,-1.471,Electronic
0.0108,-10.626,Electronic
0.0556,-6.964,Electronic
0.24,-12.855,Electronic
0.102,-3.357,Electronic
0.69,-12.858,Electronic
0.0307,-8.884,Electronic
0.18,-6.428999999999999,Electronic
0.00168,-3.826,Electronic
0.00875,-10.618,Electronic
0.107,-3.856,Electronic
0.0161,-6.792999999999999,Electronic
0.046,-2.42,Electronic
0.00163,-3.668,Electronic
0.0448,-9.53,Electronic
0.0059299999999999,-4.055,Electronic
0.0548,-9.137,Electronic
0.1369999999999999,-5.212000000000001,Electronic
0.0066099999999999,-1.835,Electronic
0.0147,-6.92,Electronic
0.00246,-12.233,Electronic
0.0126,-7.276,Electronic
0.0596,-6.132000000000001,Electronic
0.53,-18.958,Electronic
1.0800000000000002e-05,-6.0520000000000005,Electronic
0.142,-7.552,Electronic
0.291,-10.144,Electronic
0.0107,-2.94,Electronic
3.06e-06,-5.747999999999999,Electronic
0.178,-12.275,Electronic
0.0417,-5.671,Electronic
0.00569,-9.566,Electronic
0.0002319999999999,-4.992,Electronic
0.0172,-2.698,Electronic
0.0155,-3.826,Electronic
0.000109,-3.486,Electronic
0.000512,-4.697,Electronic
0.0557,-6.497000000000001,Electronic
0.00659,-4.722,Electronic
0.192,-12.309,Electronic
0.115,-12.997,Electronic
0.0832,-6.466,Electronic
0.0418,-2.524,Electronic
0.0114,-6.875,Electronic
0.00178,-6.903,Electronic
3.41e-05,-9.137,Electronic
0.0109,-5.249,Electronic
0.0376,-3.621,Electronic
0.00116,-4.612,Electronic
0.0003819999999999,-1.189,Electronic
0.0282,-7.824,Electronic
0.00642,-5.682,Electronic
0.233,-13.564,Electronic
0.00104,-7.081,Electronic
0.00642,-3.478,Electronic
0.019,-4.085,Electronic
0.0129,-8.321,Electronic
3.88e-05,-1.978,Electronic
0.593,-9.123,Electronic
0.172,-10.084,Electronic
0.0072599999999999,-6.259,Electronic
0.00745,-8.146,Electronic
0.57,-5.589,Electronic
0.0758,-9.224,Electronic
0.000113,-2.26,Electronic
0.00905,-8.205,Electronic
0.564,-13.234000000000002,Electronic
0.0997,-3.402,Electronic
0.00317,-5.638,Electronic
0.00358,-8.287,Electronic
0.00224,-6.562,Electronic
0.00834,-3.834,Electronic
0.057,-6.415,Electronic
0.0455,-2.245,Electronic
0.142,-3.0860000000000003,Electronic
0.00147,-5.956,Electronic
0.185,-13.227,Electronic
0.0355,-10.380999999999998,Electronic
0.000299,-9.763,Electronic
0.396,-5.2410000000000005,Electronic
0.000656,-1.916,Electronic
0.144,-6.408,Electronic
0.0166,-5.327999999999999,Electronic
0.0603,-4.87,Electronic
0.314,-3.44,Electronic
0.000259,-7.758999999999999,Electronic
0.0362,-4.203,Electronic
0.000208,-8.717,Electronic
0.0439,-5.323,Electronic
0.0187,-3.263,Electronic
0.000325,-0.863,Electronic
0.00203,-1.485,Electronic
0.0266,-5.778,Electronic
0.465,-15.857,Electronic
0.0164,-16.022000000000002,Electronic
0.0376,-4.112,Electronic
0.000496,-3.879,Electronic
0.0499,-8.635,Electronic
0.00145,-2.878,Electronic
0.2189999999999999,-6.068,Electronic
0.222,-11.588,Electronic
0.0603,-3.072,Electronic
0.0138,-8.008,Electronic
0.0049,-2.041,Electronic
0.000988,-3.4530000000000003,Electronic
0.171,-3.353,Electronic
0.0371,-4.343999999999999,Electronic
0.00577,0.892,Electronic
0.0031,-5.287999999999999,Electronic
0.0074,-4.466,Electronic
0.000352,-6.35,Electronic
0.8809999999999999,-11.235,Electronic
0.0126,-5.212000000000001,Electronic
0.307,-4.62,Electronic
0.00511,-1.999,Electronic
0.0041,-1.4409999999999998,Electronic
0.0102,-6.417999999999999,Electronic
0.000137,-6.495,Electronic
0.0916,-7.31,Electronic
0.00258,-13.111,Electronic
0.0003549999999999,-5.524,Electronic
0.0127,-6.162999999999999,Electronic
0.0248,-2.3680000000000003,Electronic
0.8759999999999999,-14.466,Electronic
0.442,-12.578,Electronic
0.000315,-1.72,Electronic
2.57e-06,-6.755,Electronic
0.065,-2.806,Electronic
0.631,-10.245,Electronic
0.361,-9.61,Electronic
0.599,-9.023,Electronic
0.293,-11.338,Electronic
0.0997,-11.39,Electronic
1.05e-05,-8.538,Electronic
0.624,-14.109000000000002,Electronic
0.0248,-4.33,Electronic
0.0268,-2.873,Electronic
0.00754,-3.572,Electronic
0.0833,-4.285,Electronic
0.276,-4.33,Electronic
0.00243,-6.042999999999999,Electronic
0.00554,-1.692,Electronic
0.0116,-10.78,Electronic
0.684,-9.845,Electronic
0.0695,-10.441,Electronic
0.00399,-4.683,Electronic
0.387,-6.57,Electronic
0.000455,-7.221,Electronic
0.000561,-13.787,Electronic
0.0118,-2.311,Electronic
0.0224,-4.843,Electronic
0.00365,-7.2010000000000005,Electronic
0.00161,-12.38,Electronic
0.25,-8.051,Electronic
0.0118,-1.873,Electronic
0.366,-17.153,Electronic
0.0008039999999999,-5.82,Electronic
0.00349,-9.54,Electronic
0.00601,-1.82,Electronic
0.07,-8.963,Electronic
0.14,-4.12,Electronic
0.0678,-8.28,Electronic
0.0789,-8.281,Electronic
0.0648,-5.485,Electronic
0.159,-9.82,Electronic
0.0866,-8.384,Electronic
0.178,-15.157,Electronic
0.000757,-1.026,Electronic
0.000303,-2.77,Electronic
0.0737,-6.425,Electronic
0.00762,-8.399,Electronic
0.193,-11.675,Electronic
0.00903,-5.443,Electronic
6.04e-06,-5.468,Electronic
0.00746,-0.926,Electronic
0.1159999999999999,-3.41,Electronic
0.00765,-2.231,Electronic
0.657,-9.657,Electronic
0.00385,-5.789,Electronic
0.0517,-12.16,Electronic
0.544,-9.969,Electronic
0.156,-1.413,Electronic
0.477,-10.251,Electronic
0.353,-11.19,Electronic
0.000486,-5.313,Electronic
0.00208,-9.155,Electronic
0.011,-4.214,Electronic
0.0196,-6.33,Electronic
0.000868,-7.962999999999999,Electronic
0.72,-9.748,Electronic
0.0193,-12.356,Electronic
0.0284,-3.906,Electronic
0.287,-9.45,Electronic
0.0279,-4.165,Electronic
0.00125,-5.127000000000001,Electronic
0.0535,-3.452,Electronic
0.759,-10.905,Electronic
0.0211,-3.245,Electronic
0.0107,-7.481,Electronic
0.0424,-6.904,Electronic
0.12,-15.095,Electronic
0.0358,-5.412000000000001,Electronic
0.00242,-6.626,Electronic
0.888,-15.913,Electronic
0.0507,-10.384,Electronic
0.0146,-6.483,Electronic
0.0201,-1.269,Electronic
0.0323,-5.18,Electronic
0.14,-8.079,Electronic
0.531,-9.334,Electronic
0.00843,-2.695,Electronic
0.108,-9.154,Electronic
0.000171,-11.049,Electronic
0.0383,-3.268,Electronic
0.00647,-5.021,Electronic
0.0106,-6.504,Electronic
0.0422,-9.516,Electronic
0.19,-12.458,Electronic
0.153,-4.08,Electronic
0.0242,-7.277,Electronic
0.1639999999999999,-5.119,Electronic
0.254,-7.213999999999999,Electronic
0.000405,-3.62,Electronic
0.0052,-10.704,Electronic
0.12,-7.99,Electronic
0.0001419999999999,-2.037,Electronic
2.68e-05,-3.096,Electronic
4.77e-05,-3.675,Electronic
0.0026,-3.637,Electronic
0.0246,-4.333,Electronic
0.00126,-11.403,Electronic
0.000687,-6.922000000000001,Electronic
0.000857,-7.725,Electronic
0.494,-13.472,Electronic
0.0351,-3.54,Electronic
0.772,-15.023,Electronic
0.00147,-4.455,Electronic
0.000233,-1.788,Electronic
0.000598,-1.95,Electronic
0.0906,-11.718,Electronic
0.067,-5.274,Electronic
0.0236,-6.367000000000001,Electronic
0.39,-9.269,Electronic
0.311,-5.454,Electronic
0.053,-5.7,Electronic
6.08e-05,-5.256,Electronic
0.0194,-4.268,Electronic
0.0858,-4.375,Electronic
0.1369999999999999,-8.681000000000001,Electronic
0.0926,-3.901,Electronic
0.00159,-6.131,Electronic
0.000384,-4.8580000000000005,Electronic
0.0277,-5.585,Electronic
0.000231,-3.612,Electronic
0.000101,-2.286,Electronic
0.00564,-3.718,Electronic
0.00482,-8.126,Electronic
0.0090099999999999,-5.813,Electronic
0.0206,-1.408,Electronic
8.6e-05,-4.504,Electronic
0.602,-5.816,Electronic
0.701,-9.748,Electronic
0.00234,-4.06,Electronic
0.0146,-3.486,Electronic
0.1889999999999999,-12.765999999999998,Electronic
0.0455,-9.789,Electronic
0.273,-9.933,Electronic
0.00255,-5.747000000000001,Electronic
0.0352,-7.172999999999999,Electronic
0.0337,-5.799,Electronic
0.764,-9.524,Electronic
0.011,-10.79,Electronic
0.216,-8.067,Electronic
0.02,-14.47,Electronic
0.00428,-9.059,Electronic
0.0778,-7.846,Electronic
0.208,-7.882999999999999,Electronic
0.0454,-3.791,Electronic
0.00115,-5.494,Electronic
0.0476,-18.527,Electronic
0.0793,-9.014,Electronic
0.00155,-6.652,Electronic
0.192,-5.528,Electronic
0.00235,-4.624,Electronic
0.149,-5.789,Electronic
0.00059,-0.911,Electronic
0.0236,-6.778,Electronic
0.0257,-6.63,Electronic
0.518,-5.196000000000001,Electronic
0.000518,-3.133,Electronic
8.49e-05,-3.1710000000000003,Electronic
0.00581,-11.41,Electronic
2.46e-05,-3.4530000000000003,Electronic
0.247,-6.553999999999999,Electronic
0.0123,-12.056,Electronic
0.00138,-4.292,Electronic
0.0202,-4.997,Electronic
0.0495,-7.324,Electronic
0.0858,-5.365,Electronic
0.0017699999999999,-4.709,Electronic
0.00318,-1.042,Electronic
0.0062299999999999,-1.903,Electronic
0.0068099999999999,-7.468,Electronic
0.0258,-6.218999999999999,Electronic
0.0659,-9.961,Electronic
0.0278,-10.147,Electronic
0.134,-8.3,Electronic
0.0175,-7.0760000000000005,Electronic
0.00115,-3.727,Electronic
0.0535,-8.711,Electronic
0.0324,-6.421,Electronic
0.0671,-3.149,Electronic
0.0101,-3.832,Electronic
0.3339999999999999,-8.479,Electronic
0.0141,-2.537,Electronic
0.0076,-6.16,Electronic
0.28,-14.991,Electronic
0.00135,-10.47,Electronic
0.00556,-8.161,Electronic
0.00265,-1.36,Electronic
0.172,-10.089,Electronic
0.00391,-6.14,Electronic
0.0544,-6.369,Electronic
0.0648,-10.333,Electronic
4.24e-05,-3.35,Electronic
0.354,-22.191,Electronic
0.8370000000000001,-8.137,Electronic
0.00262,-1.82,Electronic
0.0302,-5.231,Electronic
0.0395,-5.268,Electronic
0.00252,-2.88,Electronic
0.132,-7.808,Electronic
0.0451,-8.314,Electronic
0.0571,-4.892,Electronic
0.12,-8.342,Electronic
0.17,-8.314,Electronic
0.0128,-1.685,Electronic
0.205,-6.742999999999999,Electronic
0.236,-10.258,Electronic
0.0015199999999999,-5.097,Electronic
0.00183,-8.691,Electronic
0.087,-7.193,Electronic
0.000306,-3.835,Electronic
0.964,-11.303,Electronic
0.00925,-11.869000000000002,Electronic
0.309,-14.983,Electronic
0.615,-14.659,Electronic
0.00715,-5.154,Electronic
0.00207,-6.834,Electronic
0.313,-17.747,Electronic
0.173,-9.134,Electronic
0.0924,-10.809,Electronic
0.000346,-3.233,Electronic
0.0004219999999999,-1.923,Electronic
0.181,-6.821000000000001,Electronic
0.477,-10.916,Electronic
0.146,-3.195,Electronic
0.0107,-9.484,Electronic
0.000571,-7.257000000000001,Electronic
0.0014199999999999,-8.677,Electronic
0.0426,-5.665,Electronic
0.035,-1.547,Electronic
0.0152,-9.982,Electronic
0.659,-9.441,Electronic
0.165,-6.455,Electronic
0.43,-11.271,Electronic
0.0262,-7.205,Electronic
0.0471,-7.249,Electronic
0.417,-10.254,Electronic
0.00238,-5.127000000000001,Electronic
0.00629,-4.122,Electronic
0.546,-10.842,Electronic
0.00075,-4.953,Electronic
0.00144,-4.605,Electronic
0.106,-7.428,Electronic
0.722,-14.751,Electronic
0.2,-15.188,Electronic
0.0997,-3.46,Electronic
0.0472,-9.195,Electronic
0.0822,-5.667999999999999,Electronic
0.0192,-4.912,Electronic
0.209,-9.356,Electronic
0.736,-11.657,Electronic
0.342,-13.880999999999998,Electronic
0.368,-9.111,Electronic
0.0246,-5.4270000000000005,Electronic
0.00332,-3.685,Electronic
0.0309,-2.269,Electronic
0.0217,-6.057,Electronic
0.0568,-2.341,Electronic
0.611,-10.449000000000002,Electronic
0.0497,-6.898,Electronic
0.00519,-9.548,Electronic
0.0011099999999999,-7.428999999999999,Electronic
0.00707,-3.909,Electronic
0.1689999999999999,-4.255,Electronic
0.00932,-2.502,Electronic
0.509,-11.749,Electronic
0.11,-3.0380000000000003,Electronic
0.0037799999999999,-7.404,Electronic
0.186,-8.298,Electronic
0.00794,-1.699,Electronic
0.322,-7.93,Electronic
0.000377,-3.948,Electronic
0.0507,-7.528,Electronic
0.677,-7.357,Electronic
0.155,-8.368,Electronic
0.0688,-8.054,Electronic
0.0196,-2.194,Electronic
0.00031,-3.027,Electronic
0.4539999999999999,-12.919,Electronic
0.0326,-11.037,Electronic
0.0178,-3.248,Electronic
0.00449,-3.499,Electronic
0.00186,-13.563,Electronic
0.557,-11.102,Electronic
0.635,-9.812,Electronic
0.111,-5.492000000000001,Electronic
0.00217,-6.817,Electronic
0.0124,-7.402,Electronic
0.0033399999999999,-2.131,Electronic
0.00168,-5.992999999999999,Electronic
0.0238,-9.319,Electronic
0.00266,-1.633,Electronic
0.00141,-5.978,Electronic
8.6e-05,-3.0,Electronic
0.00339,-5.167000000000001,Electronic
0.639,-19.39,Electronic
0.0403,-1.68,Electronic
0.0013599999999999,-7.452000000000001,Electronic
