popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
30.0,0.0579999999999999,0.815,233893.0,0.509,0.877,9.0,0.0954,-12.991,0.0,0.0486,113.475,0.7709999999999999,Electronic
55.0,0.636,0.62,376733.0,0.318,0.879,1.0,0.118,-15.88,1.0,0.0399,150.379,0.2,Electronic
25.0,0.0378,0.716,259587.0,0.986,0.382,7.0,0.159,-3.46,1.0,0.0676,125.971,0.6809999999999999,Electronic
49.0,0.111,0.7140000000000001,196507.0,0.867,8.55e-05,7.0,0.325,-6.295,0.0,0.0569,122.915,0.872,Electronic
59.0,0.173,0.542,237827.0,0.7490000000000001,0.942,6.0,0.315,-8.333,0.0,0.0277,94.031,0.674,Electronic
27.0,0.7020000000000001,0.598,-1.0,0.573,0.938,5.0,0.0994,-15.523,0.0,0.0401,111.376,0.56,Electronic
33.0,0.718,0.518,233613.0,0.302,0.94,7.0,0.103,-13.57,1.0,0.0336,170.025,0.296,Electronic
32.0,0.0662,0.515,205507.0,0.998,0.521,1.0,0.521,-2.189,1.0,0.156,127.74,0.154,Electronic
41.0,0.627,0.774,356576.0,0.741,0.6729999999999999,0.0,0.1159999999999999,-8.007,0.0,0.0919,123.973,0.688,Electronic
47.0,0.0004089999999999,0.5670000000000001,188764.0,0.898,0.613,10.0,0.249,-1.286,0.0,0.125,74.995,0.183,Electronic
39.0,0.0106,0.652,341400.0,0.312,0.35,8.0,0.0745,-17.647000000000002,1.0,0.0518,105.965,0.211,Electronic
41.0,0.00155,0.653,201410.0,0.899,0.799,1.0,0.148,-3.954,1.0,0.035,142.999,0.306,Electronic
38.0,0.0827,0.908,227467.0,0.978,0.00117,11.0,0.389,-1.51,0.0,0.306,127.98299999999999,0.7290000000000001,Electronic
27.0,0.216,0.626,337091.0,0.362,0.867,0.0,0.6809999999999999,-14.892,1.0,0.0479,109.948,0.107,Electronic
38.0,0.0816,0.6890000000000001,202333.0,0.8740000000000001,0.129,9.0,0.272,-5.275,0.0,0.0464,121.01899999999999,0.961,Electronic
52.0,0.0084599999999999,0.583,-1.0,0.6729999999999999,0.8290000000000001,2.0,0.303,-11.457,1.0,0.0268,111.98299999999999,0.19,Electronic
32.0,0.0151,0.728,248276.0,0.902,0.00144,1.0,0.361,-0.643,1.0,0.1969999999999999,145.043,0.22,Electronic
34.0,0.0143,0.502,268000.0,0.8690000000000001,0.0069099999999999,5.0,0.291,-3.899,0.0,0.0981,150.119,0.415,Electronic
33.0,0.0192,0.665,312227.0,0.888,7.13e-05,9.0,0.1119999999999999,-5.99,0.0,0.0409,127.62799999999999,0.622,Electronic
31.0,0.011,0.5920000000000001,219293.0,0.695,2.36e-06,11.0,0.336,-7.987999999999999,0.0,0.0291,117.85799999999999,0.6579999999999999,Electronic
28.0,0.00431,0.617,223300.0,0.944,7.809999999999999e-05,11.0,0.268,-2.849,1.0,0.318,149.541,0.238,Electronic
27.0,0.0003549999999999,0.8140000000000001,378688.0,0.877,0.455,0.0,0.206,-6.84,1.0,0.0533,122.00299999999999,0.64,Electronic
38.0,0.00226,0.657,174227.0,0.7090000000000001,0.63,10.0,0.2,-6.533,0.0,0.0579,80.499,0.779,Electronic
36.0,0.196,0.746,442189.0,0.4589999999999999,0.871,1.0,0.182,-13.505999999999998,1.0,0.066,120.015,0.351,Electronic
31.0,0.178,0.7090000000000001,188680.0,0.677,0.00362,6.0,0.0974,-9.092,1.0,0.0661,99.029,0.544,Electronic
44.0,0.0161,0.6829999999999999,182000.0,0.68,0.0,10.0,0.319,-5.861000000000001,0.0,0.0376,145.042,0.557,Electronic
43.0,0.581,0.515,287227.0,0.574,0.575,4.0,0.185,-9.8,1.0,0.0279999999999999,136.993,0.2739999999999999,Electronic
36.0,0.00163,0.736,241733.0,0.659,0.8059999999999999,0.0,0.0905,-6.549,1.0,0.0352,108.87100000000001,0.285,Electronic
41.0,0.0133,0.569,265100.0,0.96,0.00135,1.0,0.0734,-4.513,1.0,0.296,75.016,0.0413,Electronic
36.0,0.122,0.878,330000.0,0.921,0.0218,9.0,0.258,-5.162000000000001,1.0,0.132,127.99600000000001,0.487,Electronic
50.0,0.0049,0.7659999999999999,232275.0,0.8390000000000001,0.0108,1.0,0.114,-5.122999999999999,1.0,0.0409999999999999,124.992,0.113,Electronic
41.0,0.000367,0.518,270859.0,0.7020000000000001,0.841,9.0,0.396,-5.039,1.0,0.0299,117.014,0.23,Electronic
51.0,0.00988,0.7020000000000001,219200.0,0.807,0.00971,11.0,0.111,-2.688,1.0,0.206,75.063,0.363,Electronic
29.0,0.000266,0.866,406605.0,0.6970000000000001,0.0401,0.0,0.0528,-7.2010000000000005,1.0,0.067,124.014,0.7759999999999999,Electronic
24.0,0.00324,0.466,214000.0,0.907,3.02e-06,8.0,0.0901,-5.603,0.0,0.348,149.965,0.332,Electronic
42.0,0.00268,0.483,195200.0,0.898,0.944,4.0,0.136,-5.622999999999999,0.0,0.0406,149.991,0.0393,Electronic
50.0,0.0846,0.508,230533.0,0.8079999999999999,0.000727,0.0,0.0719,-12.496,0.0,0.0403,94.255,0.209,Electronic
26.0,0.00413,0.482,228857.0,0.758,0.0904,4.0,0.2,-3.333,0.0,0.057,125.005,0.253,Electronic
37.0,0.0009019999999999,0.569,264000.0,0.7859999999999999,0.426,5.0,0.107,-4.375,0.0,0.1369999999999999,150.02200000000002,0.396,Electronic
30.0,0.0086,0.561,218200.0,0.821,0.00347,11.0,0.103,-8.677,0.0,0.0289,119.711,0.8540000000000001,Electronic
31.0,0.000516,0.5710000000000001,183985.0,0.923,0.215,1.0,0.143,-2.597,1.0,0.0658,150.22,0.465,Electronic
34.0,0.166,0.637,206118.0,0.472,0.105,11.0,0.143,-4.984,0.0,0.108,84.59899999999999,0.22,Electronic
32.0,0.172,0.795,185333.0,0.518,0.0597,1.0,0.17,-11.736,1.0,0.0986,115.008,0.585,Electronic
28.0,0.00105,0.8,257707.0,0.903,0.4429999999999999,7.0,0.0833,-5.277,1.0,0.0727,123.876,0.634,Electronic
26.0,0.001,0.563,236712.0,0.631,0.00104,0.0,0.102,-5.682,1.0,0.1989999999999999,146.211,0.208,Electronic
41.0,0.0021899999999999,0.539,212973.0,0.914,0.0806,9.0,0.1989999999999999,-5.7860000000000005,0.0,0.0345,141.35,0.432,Electronic
44.0,0.4,0.381,230173.0,0.423,0.0289,1.0,0.149,-12.356,1.0,0.0517,130.07,0.24,Electronic
55.0,0.946,0.542,247818.0,0.16,0.928,7.0,0.263,-21.672,0.0,0.0365,126.921,0.198,Electronic
27.0,0.0108,0.489,254453.0,0.7759999999999999,0.135,9.0,0.273,-6.087999999999999,1.0,0.0351,75.516,0.436,Electronic
43.0,0.0101,0.602,214000.0,0.986,0.0021899999999999,0.0,0.315,-0.563,1.0,0.531,75.02600000000001,0.0464,Electronic
31.0,0.0111,0.355,293172.0,0.674,0.919,8.0,0.0901,-9.093,1.0,0.0513,90.954,0.0356,Electronic
34.0,0.00591,0.644,186240.0,0.927,0.4479999999999999,4.0,0.363,-4.651,1.0,0.0508,125.001,0.316,Electronic
39.0,9.19e-05,0.519,239667.0,0.818,0.00467,1.0,0.426,-6.218,1.0,0.0596,183.975,0.544,Electronic
33.0,0.00298,0.45,-1.0,0.915,0.446,5.0,0.7709999999999999,-1.404,0.0,0.236,137.94799999999998,0.156,Electronic
96.0,0.153,0.841,212500.0,0.7979999999999999,3.33e-06,1.0,0.0618,-4.206,0.0,0.2289999999999999,95.948,0.591,Electronic
50.0,0.293,0.497,-1.0,0.414,0.879,9.0,0.108,-14.626,1.0,0.133,201.947,0.511,Electronic
44.0,0.000449,0.43,231637.0,0.812,0.00899,10.0,0.0531,-5.303,0.0,0.0669,149.998,0.286,Electronic
31.0,4.270000000000001e-05,0.629,278400.0,0.914,0.544,1.0,0.108,-2.577,1.0,0.0509,149.991,0.183,Electronic
36.0,0.00316,0.6779999999999999,272098.0,0.746,0.0192,11.0,0.0983,-6.178,0.0,0.278,145.096,0.426,Electronic
39.0,0.0185,0.802,194590.0,0.7929999999999999,0.0,11.0,0.363,-4.578,1.0,0.198,150.143,0.564,Electronic
41.0,0.0128,0.574,157524.0,0.67,0.601,9.0,0.645,-3.68,1.0,0.207,149.975,0.513,Electronic
35.0,0.0688,0.517,378840.0,0.696,0.789,4.0,0.122,-7.794,1.0,0.0521,168.422,0.3429999999999999,Electronic
39.0,0.11,0.777,-1.0,0.667,0.0008609999999999,7.0,0.0958,-5.034,1.0,0.358,170.12099999999998,0.69,Electronic
40.0,0.00883,0.687,180233.0,0.698,0.0977,11.0,0.11,-3.728,0.0,0.437,112.494,0.591,Electronic
38.0,0.0928,0.887,346533.0,0.7490000000000001,1.56e-06,7.0,0.315,-7.322999999999999,1.0,0.223,127.999,0.6970000000000001,Electronic
27.0,0.00885,0.897,204016.0,0.762,0.016,4.0,0.0824,-4.48,0.0,0.0625,126.035,0.43,Electronic
30.0,0.638,0.57,-1.0,0.21,0.888,8.0,0.104,-15.555,0.0,0.0367,99.09100000000001,0.0388,Electronic
37.0,0.00331,0.467,-1.0,0.637,0.000548,0.0,0.337,-8.652000000000001,1.0,0.0342,179.55900000000003,0.2319999999999999,Electronic
36.0,0.0054399999999999,0.664,184434.0,0.893,0.000193,1.0,0.131,-4.501,1.0,0.201,189.988,0.401,Electronic
34.0,0.136,0.792,379600.0,0.664,0.8240000000000001,10.0,0.121,-10.403,0.0,0.0638,109.99,0.733,Electronic
30.0,0.00108,0.6779999999999999,237000.0,0.711,0.043,6.0,0.22,-8.911,0.0,0.0568,165.06400000000002,0.305,Electronic
23.0,0.00277,0.331,216279.0,0.923,0.0147,6.0,0.126,-3.0860000000000003,0.0,0.327,171.858,0.208,Electronic
31.0,0.0294,0.86,251009.0,0.68,0.838,2.0,0.198,-4.32,1.0,0.0829,109.995,0.237,Electronic
32.0,0.0139,0.498,-1.0,0.945,0.647,5.0,0.3379999999999999,-0.003,0.0,0.1369999999999999,149.888,0.179,Electronic
38.0,0.608,0.85,312507.0,0.74,0.000782,11.0,0.302,-6.327000000000001,0.0,0.0552,123.45100000000001,0.907,Electronic
39.0,0.024,0.471,-1.0,0.591,0.000339,1.0,0.148,-11.088,1.0,0.0412,71.047,0.1689999999999999,Electronic
38.0,0.128,0.4579999999999999,164456.0,0.826,2.34e-05,6.0,0.3429999999999999,-7.604,1.0,0.166,110.245,0.494,Electronic
36.0,0.0172,0.285,-1.0,0.902,0.32,6.0,0.171,-3.128,0.0,0.146,150.03799999999998,0.109,Electronic
38.0,0.0412,0.527,357107.0,0.7509999999999999,0.7979999999999999,8.0,0.644,-8.764,1.0,0.0361,123.491,0.135,Electronic
33.0,0.285,0.845,-1.0,0.8490000000000001,0.00954,11.0,0.0867,-3.01,0.0,0.0444,126.044,0.3229999999999999,Electronic
44.0,0.153,0.792,265133.0,0.5489999999999999,0.379,5.0,0.3429999999999999,-9.855,1.0,0.0456,120.01299999999999,0.476,Electronic
26.0,0.000107,0.521,249000.0,0.8809999999999999,0.0192,1.0,0.106,-8.812000000000001,0.0,0.0471,127.061,0.317,Electronic
39.0,0.0134,0.8079999999999999,445723.0,0.451,0.7759999999999999,0.0,0.106,-12.013,1.0,0.0714,120.961,0.353,Electronic
53.0,0.132,0.698,368400.0,0.789,0.0091,8.0,0.366,-4.936,1.0,0.163,123.016,0.492,Electronic
55.0,0.367,0.594,236522.0,0.815,0.0,8.0,0.0948,-3.47,1.0,0.0423,137.933,0.3389999999999999,Electronic
61.0,0.148,0.701,462267.0,0.7879999999999999,0.625,2.0,0.0977,-5.611000000000001,1.0,0.0425,142.584,0.795,Electronic
39.0,0.0139,0.597,-1.0,0.951,0.615,8.0,0.148,-5.21,1.0,0.062,159.968,0.251,Electronic
34.0,0.00187,0.774,248571.0,0.944,0.191,10.0,0.111,0.072,0.0,0.0782,140.063,0.369,Electronic
53.0,0.00171,0.721,197442.0,0.925,0.0545,4.0,0.547,-3.208,0.0,0.196,111.961,0.37,Electronic
24.0,0.115,0.563,200800.0,0.868,0.293,2.0,0.108,-4.691,1.0,0.0535,117.02799999999999,0.535,Electronic
36.0,0.055,0.6509999999999999,240009.0,0.418,8.56e-05,0.0,0.103,-9.306,1.0,0.0352,139.997,0.104,Electronic
42.0,0.385,0.594,322787.0,0.481,0.845,4.0,0.131,-14.483,0.0,0.047,109.941,0.585,Electronic
46.0,0.17,0.77,-1.0,0.638,0.00532,10.0,0.0972,-5.402,1.0,0.0682,141.935,0.299,Electronic
39.0,0.528,0.7,163613.0,0.893,0.955,1.0,0.695,-10.191,1.0,0.0649,140.046,0.8009999999999999,Electronic
51.0,0.246,0.675,381173.0,0.496,0.888,1.0,0.155,-14.236,0.0,0.0622,80.958,0.885,Electronic
31.0,0.00892,0.5660000000000001,322105.0,0.879,0.36,11.0,0.142,-4.461,1.0,0.11,76.01,0.295,Electronic
35.0,0.0564,0.665,360442.0,0.65,0.447,10.0,0.0983,-6.782,1.0,0.0335,100.014,0.3,Electronic
35.0,0.0177,0.8290000000000001,394013.0,0.263,0.0435,0.0,0.0826,-12.35,1.0,0.0377,104.992,0.357,Electronic
45.0,0.95,0.45,202147.0,0.278,0.6459999999999999,1.0,0.185,-14.318,1.0,0.034,108.00399999999999,0.0421,Electronic
25.0,0.00499,0.594,204800.0,0.871,0.3879999999999999,4.0,0.0935,-3.477,1.0,0.0421,150.009,0.63,Electronic
36.0,0.0196,0.728,232500.0,0.8959999999999999,0.252,1.0,0.1009999999999999,-4.597,0.0,0.0579999999999999,128.001,0.2689999999999999,Electronic
31.0,0.00694,0.637,175983.0,0.708,0.142,5.0,0.344,-7.792000000000001,0.0,0.0793,99.98700000000001,0.733,Electronic
30.0,0.0197,0.774,243837.0,0.606,0.4379999999999999,1.0,0.161,-6.89,1.0,0.182,74.99,0.375,Electronic
26.0,0.0044399999999999,0.701,331000.0,0.607,4.09e-05,1.0,0.0433,-4.513999999999999,0.0,0.0547,127.979,0.342,Electronic
36.0,0.00584,0.499,-1.0,0.608,1.6800000000000002e-05,8.0,0.134,-7.316,1.0,0.0681,75.039,0.0724,Electronic
36.0,0.23,0.4039999999999999,458667.0,0.61,0.949,2.0,0.1009999999999999,-12.952,0.0,0.0367,179.938,0.2,Electronic
34.0,0.00162,0.356,191573.0,0.917,0.8029999999999999,0.0,0.0877,-7.842,1.0,0.0811,110.19200000000001,0.799,Electronic
37.0,0.0863,0.7709999999999999,180004.0,0.959,0.436,8.0,0.0536,-2.992,0.0,0.0572,139.952,0.6629999999999999,Electronic
47.0,2.33e-05,0.416,275200.0,0.925,0.838,4.0,0.125,-3.94,1.0,0.0763,74.99,0.0971,Electronic
26.0,0.0206,0.792,192323.0,0.969,0.00869,0.0,0.644,-3.488,1.0,0.139,145.069,0.667,Electronic
66.0,0.0874,0.525,252280.0,0.741,0.147,10.0,0.1169999999999999,-5.643,1.0,0.0311,117.031,0.179,Electronic
50.0,0.0128,0.922,245947.0,0.701,0.000822,4.0,0.0941,-6.678999999999999,0.0,0.0868,101.99600000000001,0.54,Electronic
45.0,0.0193,0.511,-1.0,0.596,0.000704,11.0,0.0834,-5.05,0.0,0.053,124.964,0.0814,Electronic
30.0,0.0553,0.557,336413.0,0.778,0.7829999999999999,2.0,0.0993,-6.174,1.0,0.0339,90.97,0.26,Electronic
40.0,0.000744,0.632,300414.0,0.93,0.000373,1.0,0.174,-4.553,1.0,0.226,145.035,0.251,Electronic
41.0,0.113,0.4039999999999999,294013.0,0.677,0.508,2.0,0.0546,-5.58,0.0,0.0384,82.022,0.165,Electronic
46.0,0.0116,0.377,447427.0,0.65,0.8270000000000001,2.0,0.346,-10.277,0.0,0.0284,101.54700000000001,0.0978,Electronic
33.0,0.000417,0.466,290827.0,0.828,0.205,11.0,0.335,-7.898,0.0,0.0518,104.495,0.299,Electronic
39.0,0.237,0.586,222136.0,0.7120000000000001,0.971,9.0,0.0906,-9.937,0.0,0.0313,136.037,0.178,Electronic
30.0,0.00212,0.413,220800.0,0.857,0.92,1.0,0.0981,-4.974,1.0,0.0482,100.095,0.073,Electronic
51.0,0.102,0.736,453507.0,0.401,0.293,7.0,0.0938,-11.285,1.0,0.0476,100.008,0.0543,Electronic
70.0,0.0427,0.8170000000000001,224693.0,0.716,0.00263,6.0,0.358,-8.898,0.0,0.144,123.475,0.6920000000000001,Electronic
39.0,0.00442,0.509,270965.0,0.904,0.843,0.0,0.653,-7.045,1.0,0.0405,132.009,0.153,Electronic
51.0,6.53e-05,0.58,290840.0,0.7859999999999999,0.207,6.0,0.461,-9.979,1.0,0.0675,126.00399999999999,0.5579999999999999,Electronic
37.0,0.0462,0.66,-1.0,0.594,0.77,9.0,0.131,-10.545,1.0,0.0387,91.08200000000001,0.913,Electronic
33.0,0.425,0.695,-1.0,0.573,0.000905,7.0,0.0924,-7.733,0.0,0.1,118.001,0.367,Electronic
41.0,0.1169999999999999,0.805,354893.0,0.794,0.315,7.0,0.315,-7.468999999999999,0.0,0.0682,104.992,0.733,Electronic
23.0,0.136,0.623,198621.0,0.933,0.589,2.0,0.412,-4.932,1.0,0.591,144.89600000000002,0.295,Electronic
50.0,0.0208,0.7759999999999999,325584.0,0.474,0.384,11.0,0.0877,-8.437999999999999,0.0,0.0418,130.025,0.195,Electronic
40.0,0.0139,0.531,-1.0,0.6509999999999999,0.439,6.0,0.119,-8.31,1.0,0.0327,119.96700000000001,0.0388,Electronic
31.0,0.524,0.551,289187.0,0.327,0.0036799999999999,4.0,0.122,-13.714,0.0,0.0384,75.03699999999999,0.22,Electronic
35.0,0.000291,0.478,266400.0,0.8690000000000001,0.243,4.0,0.0804,-3.033,0.0,0.0785,150.14,0.314,Electronic
34.0,0.914,0.616,-1.0,0.433,0.531,6.0,0.081,-16.555,0.0,0.0363,105.915,0.118,Electronic
54.0,0.0462,0.752,-1.0,0.8440000000000001,0.131,9.0,0.0782,-8.705,1.0,0.0398,124.01299999999999,0.78,Electronic
36.0,0.342,0.726,360200.0,0.87,0.902,5.0,0.121,-6.506,0.0,0.0997,141.96200000000002,0.677,Electronic
41.0,0.198,0.6890000000000001,480686.0,0.569,0.00725,2.0,0.108,-10.285,1.0,0.0421,119.99600000000001,0.283,Electronic
43.0,0.0157,0.833,211882.0,0.938,0.0718,1.0,0.0663,-2.242,1.0,0.0551,128.024,0.79,Electronic
44.0,0.0127,0.825,155435.0,0.7909999999999999,0.00227,2.0,0.0722,-4.7,1.0,0.0495,101.999,0.512,Electronic
44.0,0.0111,0.659,350098.0,0.757,0.696,7.0,0.128,-4.802,0.0,0.03,139.94899999999998,0.475,Electronic
36.0,0.0249,0.865,274013.0,0.65,0.000391,9.0,0.102,-8.025,0.0,0.1009999999999999,120.03,0.557,Electronic
56.0,0.958,0.525,291000.0,0.366,0.7509999999999999,0.0,0.1369999999999999,-16.488,1.0,0.0718,179.956,0.0785,Electronic
44.0,0.0291,0.691,192387.0,0.89,0.585,1.0,0.0878,-6.516,1.0,0.0349,125.98299999999999,0.6509999999999999,Electronic
42.0,0.00703,0.682,213157.0,0.585,7.04e-05,8.0,0.105,-5.608,0.0,0.0473,88.027,0.521,Electronic
43.0,0.154,0.568,272800.0,0.7070000000000001,0.898,9.0,0.1169999999999999,-7.07,0.0,0.0384,93.98,0.623,Electronic
35.0,0.00121,0.42,372667.0,0.968,0.8909999999999999,7.0,0.0921,-9.047,1.0,0.07,124.837,0.37,Electronic
38.0,0.1369999999999999,0.494,205160.0,0.357,0.667,1.0,0.131,-17.063,1.0,0.0343,95.031,0.292,Electronic
41.0,0.2019999999999999,0.489,459147.0,0.506,0.6759999999999999,7.0,0.0916,-13.68,0.0,0.0318,156.779,0.0387,Electronic
31.0,0.0562,0.7340000000000001,303920.0,0.757,0.0762,7.0,0.283,-3.661,0.0,0.163,127.993,0.158,Electronic
32.0,0.932,0.434,247187.0,0.2769999999999999,0.708,9.0,0.0832,-16.148,1.0,0.0417,133.298,0.26,Electronic
59.0,0.238,0.481,270257.0,0.687,0.11,7.0,0.107,-6.747999999999999,0.0,0.0699,145.971,0.188,Electronic
34.0,0.0292,0.619,-1.0,0.721,0.892,9.0,0.208,-8.299,0.0,0.0558,140.114,0.0397,Electronic
46.0,0.00139,0.608,319880.0,0.725,0.0546,0.0,0.0802,-4.367,1.0,0.342,136.251,0.802,Electronic
60.0,0.013,0.708,155840.0,0.8270000000000001,1.49e-05,0.0,0.504,-4.591,0.0,0.0453,120.015,0.367,Electronic
40.0,0.00968,0.871,202268.0,0.843,0.6970000000000001,10.0,0.111,-5.447,0.0,0.0885,97.01299999999999,0.877,Electronic
47.0,0.1369999999999999,0.7659999999999999,359166.0,0.396,0.0436,7.0,0.052,-12.673,0.0,0.0406,113.005,0.187,Electronic
33.0,0.135,0.7440000000000001,271693.0,0.563,0.626,10.0,0.133,-12.188,0.0,0.0361,156.018,0.87,Electronic
38.0,0.547,0.765,268813.0,0.784,0.924,10.0,0.0815,-8.277999999999999,0.0,0.0649,126.228,0.655,Electronic
48.0,0.252,0.879,537164.0,0.777,0.8490000000000001,10.0,0.0883,-10.709,0.0,0.0559,110.00299999999999,0.198,Electronic
39.0,0.107,0.58,403693.0,0.612,0.0365,8.0,0.226,-11.630999999999998,1.0,0.0735,124.022,0.555,Electronic
45.0,0.0733,0.565,283773.0,0.779,2.92e-05,4.0,0.263,-3.891,0.0,0.0412,119.949,0.541,Electronic
41.0,0.00739,0.7070000000000001,244965.0,0.877,0.487,1.0,0.1009999999999999,-1.27,1.0,0.0729,144.959,0.165,Electronic
43.0,0.0004559999999999,0.625,320333.0,0.843,0.000761,11.0,0.179,-5.162999999999999,1.0,0.0695,117.949,0.7170000000000001,Electronic
56.0,0.0616,0.387,240713.0,0.758,2.26e-05,1.0,0.118,-2.794,1.0,0.0578,127.947,0.132,Electronic
28.0,0.00185,0.612,-1.0,0.866,0.13,6.0,0.109,-8.82,0.0,0.048,134.054,0.172,Electronic
36.0,0.0273,0.6890000000000001,255238.0,0.8140000000000001,0.000106,2.0,0.106,-4.254,0.0,0.0338,126.044,0.177,Electronic
40.0,0.206,0.818,309055.0,0.487,0.7140000000000001,9.0,0.111,-10.593,0.0,0.1889999999999999,141.99,0.35,Electronic
